,0,1,2,3,4,5,6,7,8,9,10,11,12,13
32,56,1,18,1.0611,2022_11_10_18_44_05_737747_RIM.jpg,Longitudinal Cracks,56,,"[852.0, 35.0, 711.0, 50.0]",Rectangle,"('0', '0')",2022-12-22 14:46:22,"{'Object Chainage': '1.0611', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '4.539', 'Width': '0.295', 'Area': '1.34', 'Area_Percentage': '16.76', 'Remarks': ''}",41
33,57,1,18,1.0549,2022_11_10_18_44_05_737747_RIM.jpg,Longitudinal Cracks,57,,"[-2.0, 58.0, 316.0, 39.0]",Rectangle,"('0', '0')",2022-12-22 14:46:29,"{'Object Chainage': '1.0549', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '2.017', 'Width': '0.23', 'Area': '0.46', 'Area_Percentage': '5.81', 'Remarks': ''}",41
34,58,1,18,1.0649,2022_11_10_18_44_09_114712_RIM.jpg,Longitudinal Cracks,58,,"[-2.0, 32.0, 296.0, 67.0]",Rectangle,"('0', '0')",2022-12-22 14:46:42,"{'Object Chainage': '1.0649', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '1.89', 'Width': '0.395', 'Area': '0.75', 'Area_Percentage': '9.35', 'Remarks': ''}",41
35,59,1,18,1.0683,2022_11_10_18_44_09_114712_RIM.jpg,Alligator Cracking,59,,"[334.0, 2.0, 774.0, 97.0]",Rectangle,"('0', '0')",2022-12-22 14:46:50,"{'Object Chainage': '1.0683', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.572', 'Area': '2.83', 'Area_Percentage': '35.41', 'Remarks': ''}",39
36,60,1,18,1.0722,2022_11_10_18_44_09_114712_RIM.jpg,Alligator Cracking,60,,"[1210.0, 20.0, 353.0, 67.0]",Rectangle,"('0', '0')",2022-12-22 14:46:57,"{'Object Chainage': '1.0722', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.395', 'Area': '0.89', 'Area_Percentage': '11.15', 'Remarks': ''}",39
37,61,1,18,1.0789,2022_11_10_18_44_12_619335_RIM.jpg,Longitudinal Cracks,61,,"[84.0, 38.0, 1479.0, 51.0]",Rectangle,"('0', '0')",2022-12-22 14:47:08,"{'Object Chainage': '1.0789', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '9.442', 'Width': '0.301', 'Area': '2.84', 'Area_Percentage': '35.57', 'Remarks': ''}",41
38,62,1,18,1.0907,2022_11_10_18_44_15_515585_RIM.jpg,Alligator Cracking,62,,"[896.0, 39.0, 474.0, 94.0]",Rectangle,"('0', '0')",2022-12-22 14:47:39,"{'Object Chainage': '1.0907', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.555', 'Area': '1.68', 'Area_Percentage': '21.01', 'Remarks': ''}",39
39,63,1,18,1.0873,2022_11_10_18_44_15_515585_RIM.jpg,Alligator Cracking,63,,"[342.0, 35.0, 436.0, 71.0]",Rectangle,"('0', '0')",2022-12-22 14:47:45,"{'Object Chainage': '1.0873', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.419', 'Area': '1.17', 'Area_Percentage': '14.6', 'Remarks': ''}",39
40,64,1,18,0.1483,2022_11_10_18_40_02_501561_RIM.jpg,Alligator Cracking,64,,"[499.0, 1.0, 445.0, 99.0]",Rectangle,"('0', '0')",2022-12-22 14:49:22,"{'Object Chainage': '0.1483', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.584', 'Area': '1.66', 'Area_Percentage': '20.78', 'Remarks': ''}",39
41,65,1,18,0.2159,2022_11_10_18_40_29_242013_RIM.jpg,ravelling,65,,"[5.0, 8.0, 643.0, 114.0]",Rectangle,"('0', '0')",2022-12-22 14:50:17,"{'Object Chainage': '0.2159', 'Object Geo_Location': '0 , 0', 'Width': '0.673', 'Area': '2.76', 'Area_Percentage': '34.57', 'Severity Level': 'Low (Some loss of fines)', 'Remarks': ''}",70
42,66,1,18,0.222,2022_11_10_18_40_29_242013_RIM.jpg,ravelling,66,,"[1153.0, -2.0, 406.0, 133.0]",Rectangle,"('0', '0')",2022-12-22 14:50:34,"{'Object Chainage': '0.222', 'Object Geo_Location': '0 , 0', 'Width': '0.785', 'Area': '2.03', 'Area_Percentage': '25.46', 'Severity Level': 'Low (Some loss of fines)', 'Remarks': ''}",70
43,67,1,18,0.3726,2022_11_10_18_41_18_120232_RIM.jpg,Alligator Cracking,67,,"[1355.0, -2.0, 203.0, 131.0]",Rectangle,"('0', '0')",2022-12-22 14:51:24,"{'Object Chainage': '0.3726', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.773', 'Area': '1.0', 'Area_Percentage': '12.54', 'Remarks': ''}",39
44,68,1,18,0.5217,2022_11_10_18_41_54_089990_RIM.jpg,Longitudinal Cracks,68,,"[1054.0, 29.0, 497.0, 47.0]",Rectangle,"('0', '0')",2022-12-22 14:52:16,"{'Object Chainage': '0.5217', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '3.173', 'Width': '0.277', 'Area': '0.88', 'Area_Percentage': '11.02', 'Remarks': ''}",41
45,69,1,18,0.5282,2022_11_10_18_41_56_381858_RIM.jpg,Alligator Cracking,69,,"[336.0, 14.0, 736.0, 62.0]",Rectangle,"('0', '0')",2022-12-22 14:52:40,"{'Object Chainage': '0.5282', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.366', 'Area': '1.72', 'Area_Percentage': '21.52', 'Remarks': ''}",39
46,70,1,18,0.6264,2022_11_10_18_42_19_255656_RIM.jpg,Alligator Cracking,70,,"[224.0, 20.0, 357.0, 80.0]",Rectangle,"('0', '0')",2022-12-22 14:53:10,"{'Object Chainage': '0.6264', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.472', 'Area': '1.08', 'Area_Percentage': '13.47', 'Remarks': ''}",39
47,71,1,18,0.6304,2022_11_10_18_42_19_255656_RIM.jpg,Alligator Cracking,71,,"[884.0, 26.0, 410.0, 92.0]",Rectangle,"('0', '0')",2022-12-22 14:53:21,"{'Object Chainage': '0.6304', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.543', 'Area': '1.42', 'Area_Percentage': '17.79', 'Remarks': ''}",39
48,72,1,18,0.6476,2022_11_10_18_42_23_981012_RIM.jpg,Alligator Cracking,72,,"[431.0, 15.0, 352.0, 48.0]",Rectangle,"('0', '0')",2022-12-22 14:53:51,"{'Object Chainage': '0.6476', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.283', 'Area': '0.64', 'Area_Percentage': '7.97', 'Remarks': ''}",39
49,73,1,18,0.7781,2022_11_10_18_42_52_544586_RIM.jpg,Longitudinal Cracks,73,,"[365.0, 49.0, 663.0, 40.0]",Rectangle,"('0', '0')",2022-12-22 14:54:42,"{'Object Chainage': '0.7781', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '4.232', 'Width': '0.236', 'Area': '1.0', 'Area_Percentage': '12.51', 'Remarks': ''}",41
50,74,1,18,0.8072,2022_11_10_18_42_58_933492_RIM.jpg,Data Loss,74,,"[219.0, -2.0, 634.0, 19.0]",Rectangle,"('0', '0')",2022-12-22 14:55:14,"{'Object Chainage': '0.8072', 'Object Geo_Location': '0 , 0', 'Area': '0.45', 'Area_Percentage': '5.68', 'Condition': 'data loss', 'Remarks': ''}",71
51,75,1,18,0.8164,2022_11_10_18_43_01_122634_RIM.jpg,Longitudinal Cracks,75,,"[41.0, 68.0, 733.0, 45.0]",Rectangle,"('0', '0')",2022-12-22 14:55:30,"{'Object Chainage': '0.8164', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '4.679', 'Width': '0.266', 'Area': '1.24', 'Area_Percentage': '15.56', 'Remarks': ''}",41
52,76,1,18,0.8183,2022_11_10_18_43_01_122634_RIM.jpg,Data Loss,76,,"[477.0, -2.0, 486.0, 12.0]",Rectangle,"('0', '0')",2022-12-22 14:55:58,"{'Object Chainage': '0.8183', 'Object Geo_Location': '0 , 0', 'Area': '0.22', 'Area_Percentage': '2.75', 'Condition': 'data loss', 'Remarks': ''}",71
53,77,1,18,0.8267,2022_11_10_18_43_03_359649_RIM.jpg,Data Loss,77,,"[74.0, -2.0, 746.0, 19.0]",Rectangle,"('0', '0')",2022-12-22 14:56:18,"{'Object Chainage': '0.8267', 'Object Geo_Location': '0 , 0', 'Area': '0.53', 'Area_Percentage': '6.68', 'Condition': 'data loss', 'Remarks': ''}",71
54,78,1,18,0.8245,2022_11_10_18_43_03_359649_RIM.jpg,Longitudinal Cracks,78,,"[-1.0, 75.0, 176.0, 41.0]",Rectangle,"('0', '0')",2022-12-22 14:56:35,"{'Object Chainage': '0.8245', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '1.124', 'Width': '0.242', 'Area': '0.27', 'Area_Percentage': '3.4', 'Remarks': ''}",41
55,80,1,18,0.8386,2022_11_10_18_43_05_649522_RIM.jpg,Data Loss,80,,"[-2.0, -2.0, 1565.0, 18.0]",Rectangle,"('0', '0')",2022-12-22 14:57:00,"{'Object Chainage': '0.8386', 'Object Geo_Location': '0 , 0', 'Area': '1.06', 'Area_Percentage': '13.28', 'Condition': 'data loss', 'Remarks': ''}",71
56,81,1,18,0.852,2022_11_10_18_43_07_930419_RIM.jpg,Data Loss,81,,"[1139.0, -2.0, 424.0, 16.0]",Rectangle,"('0', '0')",2022-12-22 14:57:10,"{'Object Chainage': '0.852', 'Object Geo_Location': '0 , 0', 'Area': '0.26', 'Area_Percentage': '3.2', 'Condition': 'data loss', 'Remarks': ''}",71
57,82,1,18,0.8572,2022_11_10_18_43_10_192367_RIM.jpg,Longitudinal Cracks,82,,"[176.0, 69.0, 737.0, 55.0]",Rectangle,"('0', '0')",2022-12-22 14:57:31,"{'Object Chainage': '0.8572', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '4.705', 'Width': '0.325', 'Area': '1.53', 'Area_Percentage': '19.12', 'Remarks': ''}",41
58,83,1,18,0.862,2022_11_10_18_43_10_192367_RIM.jpg,Longitudinal Cracks,83,,"[1146.0, 78.0, 417.0, 53.0]",Rectangle,"('0', '0')",2022-12-22 14:57:38,"{'Object Chainage': '0.862', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '2.662', 'Width': '0.313', 'Area': '0.83', 'Area_Percentage': '10.42', 'Remarks': ''}",41
59,84,1,18,0.8672,2022_11_10_18_43_12_472267_RIM.jpg,Alligator Cracking,84,,"[279.0, 35.0, 516.0, 72.0]",Rectangle,"('0', '0')",2022-12-22 14:57:57,"{'Object Chainage': '0.8672', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.425', 'Area': '1.4', 'Area_Percentage': '17.52', 'Remarks': ''}",39
60,85,1,18,0.9284,2022_11_10_18_43_27_365418_RIM.jpg,Alligator Cracking,85,,"[517.0, 15.0, 460.0, 118.0]",Rectangle,"('0', '0')",2022-12-22 14:58:25,"{'Object Chainage': '0.9284', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.696', 'Area': '2.05', 'Area_Percentage': '25.6', 'Remarks': ''}",39
61,86,1,18,1.0153,2022_11_10_18_43_53_309999_RIM.jpg,Longitudinal Cracks,86,,"[88.0, 46.0, 275.0, 52.0]",Rectangle,"('0', '0')",2022-12-22 14:58:52,"{'Object Chainage': '1.0153', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '1.756', 'Width': '0.307', 'Area': '0.54', 'Area_Percentage': '6.74', 'Remarks': ''}",41
62,87,1,18,1.1168,2022_11_10_18_44_24_707990_RIM.jpg,Longitudinal Cracks,87,,"[0.0, 43.0, 949.0, 58.0]",Rectangle,"('0', '0')",2022-12-22 14:59:18,"{'Object Chainage': '1.1168', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '6.058', 'Width': '0.342', 'Area': '2.07', 'Area_Percentage': '25.96', 'Remarks': ''}",41
63,89,1,18,1.126,2022_11_10_18_44_27_969264_RIM.jpg,Longitudinal Cracks,89,,"[151.0, 56.0, 365.0, 38.0]",Rectangle,"('0', '0')",2022-12-22 14:59:37,"{'Object Chainage': '1.126', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '2.33', 'Width': '0.224', 'Area': '0.52', 'Area_Percentage': '6.54', 'Remarks': ''}",41
64,90,1,18,1.132,2022_11_10_18_44_27_969264_RIM.jpg,Alligator Cracking,90,,"[1149.0, 31.0, 403.0, 75.0]",Rectangle,"('0', '0')",2022-12-22 14:59:51,"{'Object Chainage': '1.132', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.443', 'Area': '1.14', 'Area_Percentage': '14.25', 'Remarks': ''}",39
65,91,1,18,1.13,2022_11_10_18_44_27_969264_RIM.jpg,Longitudinal Cracks,91,,"[892.0, 49.0, 237.0, 52.0]",Rectangle,"('0', '0')",2022-12-22 14:59:57,"{'Object Chainage': '1.13', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '1.513', 'Width': '0.307', 'Area': '0.46', 'Area_Percentage': '5.81', 'Remarks': ''}",41
66,92,1,18,1.1401,2022_11_10_18_44_31_030074_RIM.jpg,Longitudinal Cracks,92,,"[635.0, 39.0, 801.0, 56.0]",Rectangle,"('0', '0')",2022-12-22 15:00:06,"{'Object Chainage': '1.1401', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '5.113', 'Width': '0.331', 'Area': '1.69', 'Area_Percentage': '21.15', 'Remarks': ''}",41
67,93,1,18,1.15,2022_11_10_18_44_33_669013_RIM.jpg,Alligator Cracking,93,,"[706.0, 21.0, 601.0, 54.0]",Rectangle,"('0', '0')",2022-12-22 15:00:19,"{'Object Chainage': '1.15', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.319', 'Area': '1.22', 'Area_Percentage': '15.3', 'Remarks': ''}",39
68,94,1,18,1.2082,2022_11_10_18_44_47_486044_RIM.jpg,Data Loss,94,,"[310.0, -2.0, 807.0, 15.0]",Rectangle,"('0', '0')",2022-12-22 15:01:15,"{'Object Chainage': '1.2082', 'Object Geo_Location': '0 , 0', 'Area': '0.46', 'Area_Percentage': '5.71', 'Condition': 'data loss', 'Remarks': ''}",71
